inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,total,acumuladas,lat,lng,mes
11,Loja,521154,1115,Quilanga,4197,2,2,-4.298000000000000,-79.39860000000000,1
11,Loja,521154,1111,Saraguro,33506,17,17,-3.625300000000000,-79.24110000000000,1
11,Loja,521154,1112,Sozoranga,7121,2,2,-4.327777999999999,-79.78972200000000,1
11,Loja,521154,1113,Zapotillo,14325,4,4,-4.386360000000002,-80.24360000000000,1
12,Los Ríos,921763,1202,Baba,43429,20,20,-1.784167000000000,-79.67666699999999,1
12,Los Ríos,921763,1201,Babahoyo,175281,133,133,-1.800000000000000,-79.53333300000000,1
12,Los Ríos,921763,1210,Buena Fe,83654,27,27,-0.8985719999999999,-79.48891600000000,1
12,Los Ríos,921763,1212,Mocache,43316,4,4,-1.183850000000000,-79.50553000000001,1
12,Los Ríos,921763,1203,Montalvo,28720,19,19,-1.793800000000000,-79.28570000000001,1
12,Los Ríos,921763,1209,Palenque,23638,7,7,-1.432800000000000,-79.74950000000000,1
12,Los Ríos,921763,1204,Puebloviejo,44725,16,16,-1.550000000000000,-79.53388900000000,1
12,Los Ríos,921763,1205,Quevedo,213842,133,133,-1.033333000000000,-79.45000000000000,1
12,Los Ríos,921763,1213,Quinsaloma,20428,4,4,-1.206200000000000,-79.31450000000001,1
12,Los Ríos,921763,1206,Urdaneta,32618,13,13,-1.570556000000000,-79.47111099999999,1
12,Los Ríos,921763,1211,Valencia,54637,11,11,-0.9525000000000000,-79.35310000000000,1
12,Los Ríos,921763,1207,Ventanas,75146,22,22,-1.450000000000000,-79.47000000000000,1
12,Los Ríos,921763,1208,Vinces,82329,26,26,-1.558333000000000,-79.75000000000000,1
13,Manabí,1562079,1302,Bolívar,45493,10,10,-0.8419439999999999,-80.16194399999999,1
13,Manabí,1562079,1303,Chone,131002,59,59,-0.6833330000000000,-80.10000000000001,1
13,Manabí,1562079,1304,El Carmen,111344,41,41,-1.314700000000000,-80.01690000000001,1
13,Manabí,1562079,1305,Flavio Alfaro,23822,10,10,-0.4054000000000000,-79.90580000000000,1
13,Manabí,1562079,1320,Jama,26116,6,6,-0.2014000000000000,-80.26590000000000,1
13,Manabí,1562079,1321,Jaramijó,28439,2,2,-0.9487300000000000,-80.63630000000001,1
13,Manabí,1562079,1306,Jipijapa,74645,29,29,-1.333330000000000,-80.58330000000001,1
13,Manabí,1562079,1307,Junín,18820,10,10,-0.9291600000000000,-80.20569000000000,1
13,Manabí,1562079,1308,Manta,264281,201,201,-0.9500220000000000,-80.71620000000000,1
13,Manabí,1562079,1309,Montecristi,107785,24,24,-1.033330000000000,-80.65000000000001,1
13,Manabí,1562079,1318,Olmedo,10194,8,8,-1.396111000000000,-80.20611099999999,1
13,Manabí,1562079,1310,Paján,37093,15,15,-1.570000000000000,-80.42000000000000,1
13,Manabí,1562079,1317,Pedernales,63441,24,24,0.07010000000000001,-80.05360000000000,1
13,Manabí,1562079,1311,Pichincha,29599,8,8,-1.047300000000000,-79.81860000000000,1
13,Manabí,1562079,1301,Portoviejo,321800,214,214,-1.056181000000000,-80.45521699999999,1
13,Manabí,1562079,1319,Puerto López,24688,5,5,-1.566667000000000,-80.81666700000000,1
13,Manabí,1562079,1312,Rocafuerte,37312,15,15,-0.9199999999999999,-80.46000000000001,1
13,Manabí,1562079,1322,San Vicente,24799,7,7,-0.5892999999999999,-80.40880000000000,1
13,Manabí,1562079,1313,Santa Ana,48152,21,21,-1.206900000000000,-80.37090000000001,1
13,Manabí,1562079,1314,Sucre,62443,34,34,-0.6000000000000001,-80.41666699999999,1
13,Manabí,1562079,1315,Tosagua,42297,9,9,-0.7800000000000000,-80.26000000000001,1
13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,15,15,-1.278889000000000,-80.42000000000000,1
14,Morona Santiago,196535,1402,Gualaquiza,19555,9,9,-3.380000000000000,-78.58000000000000,1
14,Morona Santiago,196535,1407,Huamboya,12382,2,2,-1.785000000000000,-78.23194400000000,1
14,Morona Santiago,196535,1403,Limón Indanza,10349,5,5,-2.966250000000000,-78.43052800000000,1
14,Morona Santiago,196535,1410,Logroño,7643,1,1,-2.624800000000000,-78.18960000000000,1
14,Morona Santiago,196535,1401,Morona,58281,21,21,-2.300000000000000,-78.11666699999999,1
14,Morona Santiago,196535,1411,Pablo Sexto,2897,0,0,-1.803056000000000,-77.92111100000000,1
14,Morona Santiago,196535,1404,Palora,7719,1,1,-1.700000000000000,-77.94000000000000,1
14,Morona Santiago,196535,1408,San Juan Bosco,4985,1,1,-3.092300000000000,-78.51320000000000,1
14,Morona Santiago,196535,1405,Santiago,11087,2,2,-3.429800000000000,-78.56560000000000,1
14,Morona Santiago,196535,1406,Sucúa,23823,8,8,-2.460000000000000,-78.17000000000000,1
14,Morona Santiago,196535,1409,Taisha,26773,4,4,-2.339950000000000,-77.45808000000001,1
14,Morona Santiago,196535,1412,Tiwintza,11041,3,3,-2.917670000000000,-77.80170000000000,1
15,Napo,133705,1503,Archidona,33068,10,10,-0.9166670000000000,-77.78333300000000,1
15,Napo,133705,1509,Carlos Julio Arosemena Tola,4466,2,2,-1.166667000000000,-77.85000000000001,1
15,Napo,133705,1504,El Chaco,10142,1,1,-0.3402780000000000,-77.80888899999999,1
15,Napo,133705,1507,Quijos,6847,7,7,-0.4636110000000000,-77.89277799999999,1
15,Napo,133705,1501,Tena,79182,37,37,-0.9890000000000000,-77.81590000000000,1
22,Orellana,161338,2202,Aguarico,3629,0,0,-0.9211110000000000,-75.39916699999999,1
22,Orellana,161338,2203,La Joya de los Sachas,39352,11,11,-0.3000000000000000,-76.85000000000001,1
22,Orellana,161338,2204,Loreto,24579,5,5,-0.6904000000000000,-77.30830000000000,1
22,Orellana,161338,2201,Orellana,93778,30,30,-0.4666670000000000,-76.96666700000000,1
16,Pastaza,114202,1604,Arajuno,8128,2,2,-1.234370000000000,-77.68750000000000,1
16,Pastaza,114202,1602,Mera,17547,3,3,-1.460000000000000,-78.09000000000000,1
16,Pastaza,114202,1601,Pastaza,84377,35,35,-1.066667000000000,-78.00111099999999,1
16,Pastaza,114202,1603,Santa Clara,4150,1,1,-1.267100000000000,-77.88820000000000,1
17,Pichincha,3228233,1702,Cayambe,107660,32,32,0.04388900000000000,-78.15610000000001,1
17,Pichincha,3228233,1703,Mejía,108167,29,29,-0.5101000000000000,-78.56980000000000,1
17,Pichincha,3228233,1704,Pedro Moncayo,43281,20,20,0.04369700000000000,-78.34924000000001,1
17,Pichincha,3228233,1708,Pedro Vicente Maldonado,17171,6,6,0.1666670000000000,-79,1
17,Pichincha,3228233,1709,Puerto Quito,24911,8,8,0.1170000000000000,-79.26400000000000,1
17,Pichincha,3228233,1701,Quito,2781641,1673,1673,-0.2186110000000000,-78.50972200000000,1
17,Pichincha,3228233,1705,Rumiñahui,115433,51,51,-0.3345000000000000,-78.44750000000001,1
17,Pichincha,3228233,1707,San Miguel de Los Bancos,29969,7,7,0.02300000000000000,-78.89200000000000,1
24,Santa Elena,401178,2402,La Libertad,117767,30,30,-2.233333000000000,-80.90000000000001,1
24,Santa Elena,401178,2403,Salinas,94590,36,36,-2.216667000000000,-80.95000000000000,1
24,Santa Elena,401178,2401,Santa Elena,188821,111,111,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,511151,2302,La Concordia,52571,17,17,0.002300000000000000,-79.38460000000001,1
23,Sto. Domingo Tsáchilas,511151,2301,Santo Domingo,458580,228,228,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,230503,2106,Cascales,15882,0,0,-0.06750000000000000,-77.21694400000000,1
21,Sucumbíos,230503,2107,Cuyabeno,7154,3,3,-0.1288890000000000,-76.41388900000000,1
21,Sucumbíos,230503,2102,Gonzalo Pizarro,10007,7,7,0.04700000000000000,-77.32280000000000,1
21,Sucumbíos,230503,2101,Lago Agrio,119594,63,63,0.08472199999999999,-76.88277800000000,1
21,Sucumbíos,230503,2103,Putumayo,16106,0,0,0.09999999999999999,-75.85000000000001,1
21,Sucumbíos,230503,2104,Shushufindi,57949,10,10,-0.1871000000000000,-76.64500000000000,1
21,Sucumbíos,230503,2105,Sucumbíos,3811,1,1,0.4592000000000000,-77.52300000000000,1
18,Tungurahua,590600,1801,Ambato,387309,344,344,-1.241667000000000,-78.61972200000000,1
18,Tungurahua,590600,1802,Baños,25043,9,9,-1.396389000000000,-78.42472200000000,1
18,Tungurahua,590600,1803,Cevallos,9936,4,4,-1.350000000000000,-78.61666699999999,1
18,Tungurahua,590600,1804,Mocha,7336,7,7,-1.416667000000000,-78.66666699999999,1
18,Tungurahua,590600,1805,Patate,15825,8,8,-1.316667000000000,-78.51666700000000,1
18,Tungurahua,590600,1807,Pelileo,66836,42,42,-1.327500000000000,-78.54083299999999,1
18,Tungurahua,590600,1808,Píllaro,43371,15,15,-1.175833000000000,-78.55527800000000,1
18,Tungurahua,590600,1806,Quero,20627,11,11,-1.379300000000000,-78.60700000000000,1
18,Tungurahua,590600,1809,Tisaleo,14317,7,7,-1.350000000000000,-78.66666699999999,1
19,Zamora Chinchipe,120416,1907,Centinela del Cóndor,8313,2,2,-3.894910000000000,-78.78141000000001,1
19,Zamora Chinchipe,120416,1902,Chinchipe,10679,5,5,-4.862800000000000,-79.13280000000000,1
19,Zamora Chinchipe,120416,1906,El Pangui,10945,1,1,-3.624900000000000,-78.58710000000001,1
19,Zamora Chinchipe,120416,1903,Nangaritza,8014,0,0,-4.048333000000000,-78.68222200000000,1
19,Zamora Chinchipe,120416,1908,Palanda,10144,1,1,-4.649800000000000,-79.13210000000001,1
19,Zamora Chinchipe,120416,1909,Paquisha,5992,4,4,-3.932750000000000,-78.67426000000000,1
19,Zamora Chinchipe,120416,1904,Yacuambi,7121,3,3,-3.634440000000000,-78.92810000000000,1
19,Zamora Chinchipe,120416,1905,Yantzaza,26447,9,9,-3.850000000000000,-78.75000000000000,1
19,Zamora Chinchipe,120416,1901,Zamora,32761,7,7,-4.120000000000000,-78.80000000000001,1
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,8,16,-3.050000000000000,-79.73333300000000,2
01,Azuay,881394,0111,Chordeleg,15176,5,11,-2.933333000000000,-78.76666700000000,2
01,Azuay,881394,0101,Cuenca,636996,375,762,-2.897414000000000,-79.00448100000000,2
01,Azuay,881394,0112,El Pan,3091,2,3,-2.786111000000000,-78.66500000000001,2
01,Azuay,881394,0102,Girón,13037,11,28,-3.159028000000000,-79.14756799999999,2
01,Azuay,881394,0114,Guachapala,3859,4,4,-2.769000000000000,-78.70900000000000,2
01,Azuay,881394,0103,Gualaceo,49104,17,42,-2.900000000000000,-78.78333300000000,2
01,Azuay,881394,0104,Nabón,17292,9,19,-3.336060000000000,-79.06368000000001,2
01,Azuay,881394,0110,Oña,4128,3,5,-3.469640000000001,-79.15431000000001,2
01,Azuay,881394,0105,Paute,29214,15,21,-2.781800000000000,-78.76000000000001,2
01,Azuay,881394,0106,Pucará,10584,5,10,-3.233780000000000,-79.46120000000001,2
01,Azuay,881394,0107,San Fernando,4156,1,5,-3.144500000000000,-79.25200000000000,2
01,Azuay,881394,0108,Santa Isabel,20935,7,19,-3.274170000000000,-79.31560000000000,2
01,Azuay,881394,0113,Sevilla de Oro,6890,3,5,-2.799833000000000,-78.65569400000000,2
01,Azuay,881394,0109,Sígsig,30509,10,29,-3.089700000000000,-78.80320000000000,2
02,Bolívar,209933,0206,Caluma,16429,13,15,-1.633330000000000,-79.25000000000000,2
02,Bolívar,209933,0202,Chillanes,16850,9,22,-1.933333000000000,-79.06666700000000,2
02,Bolívar,209933,0203,Chimbo,17378,8,13,-1.700000000000000,-79.01666700000000,2
02,Bolívar,209933,0204,Echeandía,14081,5,12,-1.433330000000000,-79.26667000000000,2
02,Bolívar,209933,0201,Guaranda,108763,43,87,-1.605556000000000,-79.00305600000000,2
02,Bolívar,209933,0207,Las Naves,7428,1,4,-1.283330000000000,-79.30000000000001,2
02,Bolívar,209933,0205,San Miguel,29004,15,51,-1.700000000000000,-79.03333300000000,2
04,Carchi,186869,0402,Bolivar,15528,3,14,0.5070990000000000,-77.86245400000000,2
04,Carchi,186869,0403,Espejo,13817,5,16,0.6210000000000000,-77.94000000000000,2
04,Carchi,186869,0404,Mira,11969,6,12,0.5539000000000001,-78.04930000000000,2
04,Carchi,186869,0405,Montúfar,34229,13,29,0.6100000000000000,-77.84000000000000,2
04,Carchi,186869,0406,San Pedro de Huaca,8931,4,7,0.6311110000000000,-77.72527800000000,2
04,Carchi,186869,0401,Tulcán,102395,42,146,0.8121800000000000,-77.71633000000001,2
03,Cañar,281396,0301,Azogues,86276,67,137,-2.733333000000000,-78.83333300000000,2
03,Cañar,281396,0302,Biblían,23741,6,15,-2.710000000000000,-78.88000000000000,2
03,Cañar,281396,0303,Cañar,68747,19,39,-2.483700000000000,-78.97840000000001,2
03,Cañar,281396,0306,Déleg,6782,3,7,-2.772600000000000,-78.91830000000000,2
03,Cañar,281396,0305,El Tambo,12462,5,6,-2.508100000000000,-78.92490000000001,2
03,Cañar,281396,0304,La Troncal,76872,28,62,-2.400000000000000,-79.33000000000000,2
03,Cañar,281396,0307,Suscal,6516,2,2,-2.436400000000000,-79.05220000000000,2
06,Chimborazo,524004,0602,Alausí,45054,18,37,-2.200000000000000,-78.85000000000001,2
06,Chimborazo,524004,0604,Chambo,13378,9,16,-1.733333000000000,-78.58333300000000,2
06,Chimborazo,524004,0605,Chunchi,12795,7,16,-2.283333000000000,-78.91666699999999,2
06,Chimborazo,524004,0603,Colta,44838,20,40,-1.700000000000000,-78.75000000000000,2
06,Chimborazo,524004,0610,Cumandá,17973,6,14,-2.200000000000000,-79.13333299999999,2
06,Chimborazo,524004,0606,Guamote,58291,23,49,-1.933333000000000,-78.71666700000000,2
06,Chimborazo,524004,0607,Guano,48395,13,34,-1.583333000000000,-78.63333299999999,2
06,Chimborazo,524004,0608,Pallatanga,12277,5,6,-1.983333000000000,-78.95000000000000,2
06,Chimborazo,524004,0609,Penipe,6955,3,6,-1.557300000000000,-78.53960000000001,2
06,Chimborazo,524004,0601,Riobamba,264048,160,361,-1.674347000000000,-78.64829399999999,2
05,Cotopaxi,488716,0502,La Maná,56905,20,31,-0.9299999999999999,-79.22000000000000,2
05,Cotopaxi,488716,0501,Latacunga,205624,178,351,-0.9333330000000000,-78.61666699999999,2
05,Cotopaxi,488716,0503,Pangua,24612,14,26,-1.133333000000000,-79.06666700000000,2
05,Cotopaxi,488716,0504,Pujilí,79772,21,49,-0.9500000000000000,-78.69000000000000,2
05,Cotopaxi,488716,0505,Salcedo,67100,25,56,-1.050000000000000,-78.58333300000000,2
05,Cotopaxi,488716,0506,Saquisilí,31426,10,22,-0.8300000000000001,-78.67000000000000,2
05,Cotopaxi,488716,0507,Sigchos,23277,4,11,-0.7000000000000001,-78.88333299999999,2
07,El Oro,715751,0702,Arenillas,33473,18,28,-3.550000000000000,-80.06000000000000,2
07,El Oro,715751,0703,Atahualpa,6436,3,6,-2.900000000000000,-78.93333299999999,2
07,El Oro,715751,0704,Balsas,9233,2,2,-3.762600000000000,-79.82530000000000,2
07,El Oro,715751,0705,Chilla,2379,2,2,-3.450000000000000,-79.58000000000000,2
07,El Oro,715751,0706,El Guabo,63645,24,53,-3.238800000000000,-79.82920000000000,2
07,El Oro,715751,0707,Huaquillas,60440,28,51,-3.481380000000000,-80.24320700000000,2
07,El Oro,715751,0714,Las Lajas,4963,2,4,-3.785000000000000,-80.06166700000000,2
07,El Oro,715751,0701,Machala,289141,268,523,-3.266667000000000,-79.96666700000000,2
07,El Oro,715751,0708,Marcabelí,6259,3,5,-3.786000000000000,-79.89780000000000,2
07,El Oro,715751,0709,Pasaje,87723,44,89,-3.326900000000000,-79.80490000000000,2
07,El Oro,715751,0710,Piñas,30206,30,52,-3.666667000000000,-79.65000000000001,2
07,El Oro,715751,0711,Portovelo,14028,2,5,-3.720000000000000,-79.62000000000000,2
07,El Oro,715751,0712,Santa Rosa,82171,25,54,-3.452222000000000,-79.96166699999999,2
07,El Oro,715751,0713,Zaruma,25654,11,27,-3.433333000000000,-79.60000000000001,2
08,Esmeraldas,591083,0806,Atacames,55495,10,23,0.8666670000000000,-79.83333300000000,2
08,Esmeraldas,591083,0802,Eloy Alfaro,45629,2,7,1.250000000000000,-79,2
08,Esmeraldas,591083,0801,Esmeraldas,218727,117,210,1.050000000000000,-79.20000000000000,2
08,Esmeraldas,591083,0803,Muisne,31106,7,10,0.6067000000000000,-80.01830000000001,2
