inec_provincia_id,provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022,29/01/2022,30/01/2022,31/01/2022,01/02/2022,02/02/2022,03/02/2022,04/02/2022,05/02/2022,06/02/2022,07/02/2022,08/02/2022,09/02/2022,10/02/2022,11/02/2022,12/02/2022,13/02/2022,14/02/2022,15/02/2022,16/02/2022,17/02/2022,18/02/2022,19/02/2022,20/02/2022,21/02/2022,22/02/2022,23/02/2022,24/02/2022,25/02/2022,26/02/2022,27/02/2022,28/02/2022,01/03/2022,02/03/2022,03/03/2022,04/03/2022,05/03/2022,06/03/2022,07/03/2022,08/03/2022,09/03/2022,10/03/2022,11/03/2022,12/03/2022,13/03/2022,14/03/2022,15/03/2022,16/03/2022,17/03/2022,18/03/2022,19/03/2022,20/03/2022,21/03/2022,22/03/2022,23/03/2022,24/03/2022,25/03/2022,26/03/2022,27/03/2022,28/03/2022,29/03/2022,30/03/2022,31/03/2022,01/04/2022,02/04/2022,03/04/2022,04/04/2022,05/04/2022,06/04/2022,07/04/2022,08/04/2022,09/04/2022,10/04/2022,11/04/2022,12/04/2022,13/04/2022,14/04/2022,15/04/2022,16/04/2022,17/04/2022,18/04/2022,19/04/2022,20/04/2022,21/04/2022,22/04/2022,23/04/2022,24/04/2022,25/04/2022,26/04/2022,27/04/2022,28/04/2022,29/04/2022,30/04/2022,01/05/2022,02/05/2022,03/05/2022,04/05/2022,05/05/2022,06/05/2022,07/05/2022,08/05/2022,09/05/2022,10/05/2022,11/05/2022,12/05/2022,13/05/2022,14/05/2022,15/05/2022,16/05/2022,17/05/2022,18/05/2022,19/05/2022,20/05/2022,21/05/2022,22/05/2022,23/05/2022,24/05/2022,25/05/2022,26/05/2022,27/05/2022,28/05/2022,29/05/2022,30/05/2022,31/05/2022,01/06/2022,02/06/2022,03/06/2022,04/06/2022,05/06/2022,06/06/2022,07/06/2022,08/06/2022,09/06/2022,10/06/2022,11/06/2022,12/06/2022,13/06/2022,14/06/2022,15/06/2022,16/06/2022,17/06/2022,18/06/2022,19/06/2022,20/06/2022,21/06/2022,22/06/2022,23/06/2022,24/06/2022,25/06/2022,26/06/2022,27/06/2022,28/06/2022,29/06/2022,30/06/2022,01/07/2022,02/07/2022,03/07/2022,04/07/2022,05/07/2022,06/07/2022,07/07/2022,08/07/2022,09/07/2022,10/07/2022,11/07/2022,12/07/2022,13/07/2022,14/07/2022
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,29,21,18,41,17,21,28,128,127,109,253,387,189,259,279,192,201,304,194,230,346,278,218,120,176,336,330,303,472,273,72,273,327,217,352,100,96,48,281,163,200,154,190,56,55,131,127,103,77,160,62,19,100,58,44,62,59,24,0,12,11,99,1038,37,13,5,30,16,14,38,15,3,5,12,12,18,14,3,2,3,19,15,29,13,21,8,2,16,7,7,7,41,3,0,7,19,7,3,176,3,11,2,1,2,4,2,4,0,2,2,1,3,4,0,0,0,0,5,7,3,3,5,5,2,2,9,3,2,0,4,2,1,3,5,0,0,2,1,7,1,2,3,1,2,5,8,4,4,3,1,2,117,14,22,4,3,2,11,13,12,12,8,2,5,12,21,13,16,19,5,3,18,15,16,19,11,3,5,23,28,26,8,26,7,3,39,21,22,30,26,11,1,37,66,63
11,Loja,521154,-3.983333000000000,-79.20000000000000,76,17,20,19,54,52,30,52,137,126,182,212,128,241,341,185,207,297,376,323,347,405,355,195,575,558,676,589,429,162,62,362,453,379,515,318,228,46,564,274,591,293,260,51,45,154,257,194,165,174,60,10,109,140,99,111,69,94,13,4,8,103,45,93,25,6,62,97,56,69,35,15,3,42,23,12,8,12,6,2,3,7,18,19,18,6,5,14,26,22,9,10,8,2,15,9,6,14,29,1,3,5,9,5,14,3,1,0,2,7,4,21,8,1,0,1,1,2,7,5,3,2,0,3,1,2,4,0,0,8,5,5,3,3,0,0,7,1,17,8,15,4,1,0,7,5,6,9,4,23,13,77,3,11,24,5,6,32,29,32,52,26,9,6,66,79,88,69,82,20,20,119,90,110,163,105,28,11,128,126,84,84,85,42,19,127,91,101,95,103,19,29,181,137,118
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,54,11,23,22,67,79,49,48,88,53,186,221,82,312,174,142,44,194,149,88,68,109,74,15,80,34,113,118,71,20,13,55,51,41,59,28,10,17,46,27,24,21,15,15,8,16,26,12,10,17,4,4,17,8,10,9,6,2,2,1,3,15,3,4,1,1,1,3,2,6,1,0,0,1,8,2,3,1,0,1,3,7,0,1,2,0,1,1,1,6,0,1,0,0,3,18,5,2,13,0,0,0,0,2,2,1,0,0,1,1,0,1,3,0,0,0,1,2,0,1,0,3,0,0,0,0,4,1,0,0,1,1,0,0,0,0,1,1,1,5,3,1,0,0,2,0,0,3,0,1,2,31,1,7,2,2,0,2,9,0,2,3,0,0,5,4,2,4,15,3,1,11,5,4,4,5,1,0,11,7,5,5,2,1,1,14,6,11,7,20,3,3,28,46,22
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,201,76,73,117,222,233,207,355,292,157,584,455,169,592,592,749,337,511,488,630,511,733,360,140,849,279,1032,557,886,178,44,489,361,332,518,278,103,23,325,185,273,328,95,76,7,105,162,217,81,144,35,37,118,60,124,57,103,22,2,5,7,53,27,43,7,1,17,54,22,27,16,2,1,6,26,12,17,31,2,1,29,21,37,18,14,2,4,12,10,11,3,3,0,0,14,4,2,4,125,1,0,5,0,12,11,1,1,0,3,4,3,12,2,0,0,10,2,6,2,6,1,4,0,5,4,3,3,1,0,0,3,4,6,3,0,2,3,4,6,9,13,3,0,0,6,6,9,7,1,1,25,158,6,10,32,2,0,10,33,27,27,23,11,4,21,31,36,33,45,21,9,42,37,43,50,30,13,16,58,70,77,81,60,47,13,146,144,195,197,251,75,53,255,275,283
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,9,3,4,8,27,34,23,21,9,20,75,82,52,123,61,45,26,115,134,134,125,95,20,44,161,99,62,114,98,18,17,72,103,40,70,60,29,1,60,76,46,27,17,6,3,40,44,73,22,132,6,1,55,18,13,9,2,2,1,2,2,4,8,4,0,0,9,8,3,9,4,0,2,3,5,0,1,0,2,0,0,6,4,4,0,2,0,5,2,0,3,3,1,1,1,5,1,8,0,0,2,0,3,2,3,1,0,0,1,3,5,3,1,0,0,1,0,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,1,1,1,4,0,0,2,5,0,4,3,0,0,5,3,6,3,4,1,1,6,3,9,19,12,0,1,24,12,12,5,9,1,0,13,5,8,6,7,0,0,2,14,15,13,17,6,2,22,48,19
15,Napo,133705,-0.9890000000000000,-77.81590000000000,4,0,3,5,11,18,27,18,30,15,20,30,13,87,145,41,45,146,144,125,84,75,22,27,133,90,54,44,61,30,17,12,77,88,55,47,15,6,27,13,26,15,14,5,4,15,12,12,16,13,6,1,9,6,4,2,4,0,0,0,0,5,4,2,2,0,3,2,2,5,2,0,0,2,4,1,0,2,-1,0,0,0,16,5,4,0,0,1,3,3,4,0,0,0,1,1,0,4,3,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,1,1,0,2,1,4,2,1,1,0,1,1,1,2,0,3,1,1,0,2,2,2,0,1,6,5,9,2,2,1,0,2,3,4,1,3,0,0,1,10,40,4,10,0,1,9,15,16
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,3,7,5,3,4,2,1,5,13,5,24,21,25,39,62,20,21,56,72,60,63,37,50,127,57,63,52,29,16,41,19,18,11,47,44,39,18,10,16,52,35,32,59,6,2,20,1,15,24,24,6,7,7,6,9,16,4,1,0,1,2,1,12,2,0,1,2,0,3,9,1,2,0,5,0,2,0,1,-5,0,-1,1,2,2,1,0,0,1,1,0,0,3,-1,-1,0,20,2,0,21,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,34,109,11,0,0,2,2,3,0,1,0,1,25,0,0,0,0,0,0,1,0,2,0,1,0,1,0,-1,4,6,0,1,4,3,0,2,3,2,2,3,2,5,2,5,0,1,0,5,4,5,4,5,4,3,18,16
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,2,1,7,1,4,5,4,9,5,3,18,38,12,11,24,19,10,36,52,55,22,55,18,14,16,35,19,31,52,4,19,11,36,72,83,36,7,3,51,30,49,57,9,0,7,3,44,19,33,5,0,1,62,1,53,2,3,0,1,3,0,1,1,5,1,0,11,5,9,1,3,0,0,0,3,0,2,1,0,2,5,2,12,8,3,2,0,0,2,4,0,0,0,0,1,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,15,0,1,1,0,0,2,3,1,1,4,0,0,12,10,8,24,2,0,0,4,1,0,0,9,0,0,1,1,1,1,0,0,0,2,3,2,0,1,1,0,3,0,7
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,448,277,261,498,333,480,260,482,641,495,2201,2532,2049,1966,3255,1657,976,2291,2780,2487,2053,3003,1331,795,1765,1650,3124,4796,3367,1392,1142,3067,2279,3269,3901,2152,851,1230,2633,1681,3919,2225,1632,933,469,2239,2654,1780,1501,1542,483,340,1433,1075,1546,1126,1187,245,254,379,379,1698,825,1691,729,250,1267,1134,962,794,388,130,229,576,698,522,232,206,133,197,424,272,795,461,1033,147,232,455,469,341,335,184,51,19,227,274,202,281,370,47,117,71,138,218,303,44,76,30,129,216,112,212,87,31,22,137,214,187,237,163,37,102,33,168,214,195,100,47,9,170,206,245,174,110,23,23,160,133,346,272,251,45,21,34,296,383,435,225,86,54,416,1103,425,865,452,144,42,355,617,432,680,543,191,151,513,870,869,740,770,393,115,728,856,676,816,578,469,216,899,665,553,543,589,144,69,477,422,528,570,424,141,78,630,1032,930
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,20,8,13,8,23,36,20,23,51,4,117,87,39,163,124,75,24,53,94,61,39,77,52,39,21,17,76,12,39,5,2,80,28,36,8,2,2,7,3,17,5,58,6,2,3,12,9,4,18,2,1,0,4,7,0,1,2,0,0,0,13,1,17,2,0,1,0,7,3,0,0,1,0,0,3,0,1,1,0,0,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0,1,0,0,12,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,0,1,0,0,0,1,1,0,0,1,0,0,0,2,1,0,0,0,0,5,1,0,2,0,0,4,76,1,0,1,0,0,1,0,2,0,1,0,0,2,0,0,2,2,0,0,1,0,0,1,1,0,0,3,2,2,1,5,1,1,7,6,1
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,30,30,8,4,7,15,14,21,43,27,56,142,29,34,57,26,11,71,80,86,80,375,105,45,156,33,93,209,85,56,46,96,52,201,60,38,85,9,96,32,91,84,70,67,61,97,42,20,30,33,21,5,17,2,9,7,8,1,1,1,0,9,6,8,2,1,2,6,4,6,2,0,0,2,6,1,6,12,0,0,0,2,3,1,4,0,0,0,2,1,2,1,0,0,0,1,0,1,30,0,2,0,1,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,4,1,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,5,2,0,0,0,0,1,0,1,0,0,0,13,0,2,2,0,0,2,1,1,0,1,1,0,4,2,1,5,4,0,2,3,10,10,12,13,0,0,21,9,12,19,13,7,0,14,23,23,31,40,8,7,60,72,45
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,6,2,3,12,4,6,6,25,65,24,57,37,73,82,122,34,28,45,82,155,56,139,29,14,36,22,48,45,66,41,77,36,25,37,29,38,4,11,51,19,18,28,11,3,5,7,6,9,8,7,5,7,24,8,7,4,6,1,1,2,0,4,8,5,0,0,9,0,2,8,1,9,4,2,1,0,2,-1,-3,3,1,0,9,3,2,0,0,10,1,1,0,1,-3,0,5,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,2,1,5,1,0,0,0,0,2,2,0,0,0,6,1,0,3,0,0,4,4,5,1,0,0,0,3,0,1,0,2,0,4,2,4,1,4,10,1,1,6,6,4,9,7,13,3,14,10,16,28,24,16,0,26,31,31
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,60,19,63,71,60,62,22,51,42,57,113,127,104,224,135,283,123,378,312,360,273,492,194,113,249,213,363,366,389,278,117,317,295,251,316,102,214,68,192,95,189,98,108,30,8,323,78,312,102,195,40,7,110,57,107,33,28,31,5,3,4,21,19,16,11,3,13,36,38,58,33,13,8,12,11,18,24,21,6,3,17,17,23,27,16,8,6,14,21,13,8,2,3,0,6,5,3,5,22,2,7,26,5,11,26,4,2,1,3,2,4,4,5,3,1,4,3,9,5,1,1,2,2,11,18,7,8,0,3,5,18,12,1,5,3,3,7,4,15,8,8,7,1,3,22,13,17,13,5,9,28,640,15,10,14,7,5,35,39,40,49,46,28,8,54,61,57,57,34,21,8,35,41,19,45,19,5,4,33,19,23,18,28,3,1,37,27,35,24,26,11,5,40,83,71
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,2,2,2,2,4,9,3,3,18,8,26,71,16,58,55,20,12,70,101,111,50,59,34,9,144,80,106,96,72,7,13,43,41,30,44,48,11,6,26,19,36,23,16,6,2,14,17,35,6,16,5,5,6,25,19,12,10,5,1,2,0,10,1,4,5,1,8,6,13,15,3,8,2,8,3,0,5,0,-1,1,5,2,2,0,1,0,4,10,8,3,2,1,8,0,2,3,1,0,7,1,0,0,2,0,-1,0,0,0,0,1,0,0,0,1,0,0,3,0,0,7,0,2,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,5,0,0,0,7,1,0,4,2,0,0,0,0,2,3,4,0,1,2,5,8,4,2,0,1,3,5,6,7,2,0,1,6,7,8,10,5,2,1,7,5,5,13,11,1,5,13,13,1
