provincia,poblacion,total,nuevas,probables,lat,lng,created_at
El Oro,715751,574,1,208,-3.266667000000000,-79.96666700000000,05/01/2021
Esmeraldas,591083,241,0,55,1.050000000000000,-79.20000000000000,05/01/2021
Galápagos,33042,5,0,2,-0.7999999999999999,-89.40000000000001,05/01/2021
Guayas,4387434,1864,1,1693,-2.183333000000000,-79.88333299999999,05/01/2021
Imbabura,476257,217,2,17,0.3626780000000000,-78.13066700000000,05/01/2021
Loja,521154,246,0,47,-3.983333000000000,-79.20000000000000,05/01/2021
Los Ríos,921763,362,1,242,-1.800000000000000,-79.53333300000000,05/01/2021
Manabí,1562079,1307,2,1061,-1.056181000000000,-80.45521700000000,05/01/2021
Morona Santiago,196535,37,1,0,-2.300000000000000,-78.11666700000001,05/01/2021
Napo,133705,78,0,3,-0.9890000000000000,-77.81590000000000,05/01/2021
Orellana,161338,53,0,18,-0.4666670000000000,-76.96666700000000,05/01/2021
Pastaza,114202,63,0,17,-1.066667000000000,-78.00111099999999,05/01/2021
Pichincha,3228233,2029,2,277,-0.2186110000000000,-78.50972200000000,05/01/2021
Santa Elena,401178,386,0,280,-2.226700000000000,-80.85830000000000,05/01/2021
Sto. Domingo Tsáchilas,511151,381,2,116,-0.2541670000000000,-79.17194400000000,05/01/2021
Sucumbíos,230503,98,0,3,0.08472200000000002,-76.88277800000000,05/01/2021
Tungurahua,590600,345,4,301,-1.241667000000000,-78.61972200000000,05/01/2021
Zamora Chinchipe,120416,56,0,1,-4.120000000000000,-78.80000000000000,05/01/2021
Azuay,881394,225,0,20,-2.897414000000000,-79.00448100000000,06/01/2021
Bolívar,209933,73,0,15,-1.605556000000000,-79.00305600000000,06/01/2021
Carchi,186869,125,0,2,0.8121800000000000,-77.71633000000000,06/01/2021
Cañar,281396,104,0,6,-2.733333000000000,-78.83333300000000,06/01/2021
Chimborazo,524004,354,8,124,-1.674347000000000,-78.64829400000001,06/01/2021
Cotopaxi,488716,315,0,65,-0.9333330000000000,-78.61666700000001,06/01/2021
El Oro,715751,576,2,208,-3.266667000000000,-79.96666700000000,06/01/2021
Esmeraldas,591083,241,0,55,1.050000000000000,-79.20000000000000,06/01/2021
Galápagos,33042,6,1,2,-0.7999999999999999,-89.40000000000001,06/01/2021
Guayas,4387434,1865,1,1693,-2.183333000000000,-79.88333299999999,06/01/2021
Imbabura,476257,217,0,17,0.3626780000000000,-78.13066700000000,06/01/2021
Loja,521154,246,0,47,-3.983333000000000,-79.20000000000000,06/01/2021
Los Ríos,921763,362,0,242,-1.800000000000000,-79.53333300000000,06/01/2021
Manabí,1562079,1318,11,1061,-1.056181000000000,-80.45521700000000,06/01/2021
Morona Santiago,196535,37,0,0,-2.300000000000000,-78.11666700000001,06/01/2021
Napo,133705,78,0,3,-0.9890000000000000,-77.81590000000000,06/01/2021
Orellana,161338,53,0,18,-0.4666670000000000,-76.96666700000000,06/01/2021
Pastaza,114202,63,0,17,-1.066667000000000,-78.00111099999999,06/01/2021
Pichincha,3228233,2032,3,277,-0.2186110000000000,-78.50972200000000,06/01/2021
Santa Elena,401178,386,0,280,-2.226700000000000,-80.85830000000000,06/01/2021
Sto. Domingo Tsáchilas,511151,384,3,116,-0.2541670000000000,-79.17194400000000,06/01/2021
Sucumbíos,230503,99,1,3,0.08472200000000002,-76.88277800000000,06/01/2021
Tungurahua,590600,350,5,309,-1.241667000000000,-78.61972200000000,06/01/2021
Zamora Chinchipe,120416,56,0,1,-4.120000000000000,-78.80000000000000,06/01/2021
